2021-05-31/04:56:32		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:33		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:34		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:35		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:36		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:37		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:38		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:39		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:40		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:41		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:42		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:43		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:44		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:45		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:46		 wafer_21012020_080913.csv: File loaded successfully!!
2021-05-31/04:56:46		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:47		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:47		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:47		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:47		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:48		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:48		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:48		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:48		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:48		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:48		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:49		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:49		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:49		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:49		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:49		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:50		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:50		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:50		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:50		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:51		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:52		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:53		 wafer_23012020_041211.csv: File loaded successfully!!
2021-05-31/04:56:53		 wafer_23012020_041211.csv: File loaded successfully!!
